Datetime,Mission ID,Mission,Mission Attempt,Doll Type,Doll Name,Doll Rarity,Doll Core,Equip Type,Equip Name,Equip Rarity
2021-09-22 20:57:40,124,Morning Conference IV,3829,SMG,Ingram,3,1,,,
2021-09-22 20:58:18,124,Morning Conference IV,3829,SMG,M3,2,0,,,
2021-09-22 20:58:48,124,Morning Conference IV,3829,MG,MG34,2,0,,,
2021-09-22 20:59:03,124,Morning Conference IV,3829,RF,SKS,2,0,,,
2021-09-22 21:00:59,124,Morning Conference IV,3830,AR,Gr G3,2,0,,,
2021-09-22 21:01:31,124,Morning Conference IV,3830,SMG,Ingram,3,1,,,
2021-09-22 21:02:01,124,Morning Conference IV,3830,SMG,M38,2,0,,,
2021-09-22 21:02:16,124,Morning Conference IV,3830,MG,MG34,2,0,,,
2021-09-22 21:04:26,124,Morning Conference IV,3831,HG,Astra,3,1,,,
2021-09-22 21:04:54,124,Morning Conference IV,3831,SMG,PP-2000,2,0,,,
2021-09-22 21:05:27,124,Morning Conference IV,3831,AR,Gr G3,2,0,,,
2021-09-22 21:05:57,124,Morning Conference IV,3831,SMG,Skorpion,3,1,,,
2021-09-22 21:06:12,124,Morning Conference IV,3831,HG,FF FNP9,2,0,,,
2021-09-22 21:08:40,124,Morning Conference IV,3832,AR,FF F2000,2,0,,,
2021-09-22 21:09:11,124,Morning Conference IV,3832,SMG,PP-2000,2,0,,,
2021-09-22 21:09:44,124,Morning Conference IV,3832,SMG,Micro Uzi,3,1,,,
2021-09-22 21:10:16,124,Morning Conference IV,3832,SMG,Type64,2,0,,,
2021-09-22 21:10:30,124,Morning Conference IV,3832,AR,Galil,2,0,,,
2021-09-23 19:15:46,124,Morning Conference IV,3833,RF,FF FN49,2,0,,,
2021-09-23 19:16:13,124,Morning Conference IV,3833,HG,P38,2,0,,,
2021-09-23 19:16:51,124,Morning Conference IV,3833,MG,MG42,3,1,,,
2021-09-23 19:17:21,124,Morning Conference IV,3833,SMG,M38,2,0,,,
2021-09-23 19:17:35,124,Morning Conference IV,3833,AR,Galil,2,0,,,
2021-09-23 19:20:22,124,Morning Conference IV,3834,RF,SKS,2,0,,,
2021-09-23 19:20:55,124,Morning Conference IV,3834,AR,FF F2000,2,0,,,
2021-09-23 19:21:33,124,Morning Conference IV,3834,MG,LWMMG,2,0,,,
2021-09-23 19:22:03,124,Morning Conference IV,3834,SMG,Type64,2,0,,,
2021-09-23 19:22:18,124,Morning Conference IV,3834,SMG,Type64,2,0,,,
2021-09-23 19:25:26,124,Morning Conference IV,3835,HG,FF FNP9,2,0,,,
2021-09-23 19:25:54,124,Morning Conference IV,3835,SMG,M38,2,0,,,
2021-09-23 19:26:27,124,Morning Conference IV,3835,SMG,M38,2,0,,,
2021-09-23 19:26:58,124,Morning Conference IV,3835,SMG,M38,2,0,,,
2021-09-23 19:27:12,124,Morning Conference IV,3835,HG,P38,2,0,,,
2021-09-23 19:28:37,124,Morning Conference IV,3836,AR,Galil,2,0,,,
2021-09-23 19:29:10,124,Morning Conference IV,3836,SMG,M38,2,0,,,
2021-09-23 19:30:13,124,Morning Conference IV,3836,SMG,M3,2,0,,,
2021-09-23 19:30:28,124,Morning Conference IV,3836,MG,AAT-52,2,0,,,
2021-09-23 19:31:41,124,Morning Conference IV,3837,MG,MG42,3,1,,,
2021-09-23 19:32:19,124,Morning Conference IV,3837,MG,AAT-52,2,0,,,
2021-09-23 19:33:19,124,Morning Conference IV,3837,AR,Gr G3,2,0,,,
2021-09-23 19:33:33,124,Morning Conference IV,3837,RF,SKS,2,0,,,
2021-09-23 19:36:13,50,Order to Pursue,287,AR,Galil,2,0,,,
2021-09-23 19:36:42,50,Order to Pursue,287,SMG,M3,2,0,,,
2021-09-23 19:36:56,50,Order to Pursue,287,RF,FF FN49,2,0,,,
2021-09-23 19:42:11,124,Morning Conference IV,3838,SMG,M3,2,0,,,
2021-09-23 19:42:42,124,Morning Conference IV,3838,RF,FF FN49,2,0,,,
2021-09-23 19:43:39,124,Morning Conference IV,3838,HG,Makarov,3,1,,,
2021-09-23 19:43:54,124,Morning Conference IV,3838,MG,MG34,2,0,,,
2021-09-23 19:46:12,124,Morning Conference IV,3839,SMG,M3,2,0,,,
2021-09-23 19:46:39,124,Morning Conference IV,3839,SMG,PP-2000,2,0,,,
2021-09-23 19:47:18,124,Morning Conference IV,3839,SMG,Spectre M4,2,0,,,
2021-09-23 19:47:48,124,Morning Conference IV,3839,MG,MG34,2,0,,,
2021-09-23 19:48:03,124,Morning Conference IV,3839,HG,FF FNP9,2,0,,,
2021-09-23 19:54:54,124,Morning Conference IV,3840,MG,MG34,2,0,,,
2021-09-23 19:55:25,124,Morning Conference IV,3840,HG,P38,2,0,,,
2021-09-23 19:55:56,124,Morning Conference IV,3840,HG,P38,2,0,,,
2021-09-23 19:56:26,124,Morning Conference IV,3840,HG,Bren Ten,2,0,,,
2021-09-23 19:56:41,124,Morning Conference IV,3840,AR,Galil,2,0,,,
2021-09-23 20:12:35,124,Morning Conference IV,3841,RF,FF FN49,2,0,,,
2021-09-23 20:13:03,124,Morning Conference IV,3841,HG,M1911,2,0,,,
2021-09-23 20:13:32,124,Morning Conference IV,3841,HG,M9,3,1,,,
2021-09-23 20:13:46,124,Morning Conference IV,3841,HG,FF FNP9,2,0,,,
2021-09-24 19:58:06,124,Morning Conference IV,3848,HG,C96,3,1,,,
2021-09-24 19:58:37,124,Morning Conference IV,3848,RF,FF FN49,2,0,,,
2021-09-24 19:59:12,124,Morning Conference IV,3848,SMG,Ingram,3,1,,,
2021-09-24 19:59:42,124,Morning Conference IV,3848,HG,Astra,3,1,,,
2021-09-24 19:59:57,124,Morning Conference IV,3848,HG,Astra,3,1,,,
2021-09-24 20:01:48,124,Morning Conference IV,3849,SMG,Spectre M4,2,0,,,
2021-09-24 20:02:26,124,Morning Conference IV,3849,SMG,MAT-49,4,3,,,
2021-09-24 20:03:20,124,Morning Conference IV,3849,HG,FF FNP9,2,0,,,
2021-09-24 20:03:34,124,Morning Conference IV,3849,MG,AAT-52,2,0,,,
2021-09-24 20:08:10,124,Morning Conference IV,3850,AR,AK-47,3,1,,,
2021-09-24 20:08:43,124,Morning Conference IV,3850,SMG,M38,2,0,,,
2021-09-24 20:09:14,124,Morning Conference IV,3850,AR,FF F2000,2,0,,,
2021-09-24 20:09:28,124,Morning Conference IV,3850,SMG,Type64,2,0,,,
2021-09-24 20:15:35,124,Morning Conference IV,3851,RF,SKS,2,0,,,
2021-09-24 20:16:08,124,Morning Conference IV,3851,AR,Gr G3,2,0,,,
2021-09-24 20:16:38,124,Morning Conference IV,3851,SMG,PP-2000,2,0,,,
